year,revenue,assets,CIK,ticker
2014.0,94205000000,2573126000000,0000019617,VYLD
2015.0,93543000000,2351698000000,0000019617,JPM
2015.0,93543000000,2351698000000,0000019617,JPM-PD
2015.0,93543000000,2351698000000,0000019617,JPM-PC
2015.0,93543000000,2351698000000,0000019617,JPM-PJ
2015.0,93543000000,2351698000000,0000019617,AMJB
2015.0,93543000000,2351698000000,0000019617,JPM-PK
2015.0,93543000000,2351698000000,0000019617,JPM-PL
2015.0,93543000000,2351698000000,0000019617,JPM-PM
2015.0,93543000000,2351698000000,0000019617,VYLD
2016.0,95668000000,2572274000000,0000019617,JPM
2016.0,95668000000,2572274000000,0000019617,JPM-PD
2016.0,95668000000,2572274000000,0000019617,JPM-PC
2016.0,95668000000,2572274000000,0000019617,JPM-PJ
2016.0,95668000000,2572274000000,0000019617,AMJB
2016.0,95668000000,2572274000000,0000019617,JPM-PK
2016.0,95668000000,2572274000000,0000019617,JPM-PL
2016.0,95668000000,2572274000000,0000019617,JPM-PM
2016.0,95668000000,2572274000000,0000019617,VYLD
2017.0,95668000000,2533600000000,0000019617,JPM
2017.0,95668000000,2533600000000,0000019617,JPM-PD
2017.0,95668000000,2533600000000,0000019617,JPM-PC
2017.0,95668000000,2533600000000,0000019617,JPM-PJ
2017.0,95668000000,2533600000000,0000019617,AMJB
2017.0,95668000000,2533600000000,0000019617,JPM-PK
2017.0,95668000000,2533600000000,0000019617,JPM-PL
2017.0,95668000000,2533600000000,0000019617,JPM-PM
2017.0,95668000000,2533600000000,0000019617,VYLD
2018.0,109029000000,2622532000000,0000019617,JPM
2018.0,109029000000,2622532000000,0000019617,JPM-PD
2018.0,109029000000,2622532000000,0000019617,JPM-PC
2018.0,109029000000,2622532000000,0000019617,JPM-PJ
2018.0,109029000000,2622532000000,0000019617,AMJB
2018.0,109029000000,2622532000000,0000019617,JPM-PK
2018.0,109029000000,2622532000000,0000019617,JPM-PL
2018.0,109029000000,2622532000000,0000019617,JPM-PM
2018.0,109029000000,2622532000000,0000019617,VYLD
2019.0,115627000000,2687379000000,0000019617,JPM
2019.0,115627000000,2687379000000,0000019617,JPM-PD
2019.0,115627000000,2687379000000,0000019617,JPM-PC
2019.0,115627000000,2687379000000,0000019617,JPM-PJ
2019.0,115627000000,2687379000000,0000019617,AMJB
2019.0,115627000000,2687379000000,0000019617,JPM-PK
2019.0,115627000000,2687379000000,0000019617,JPM-PL
2019.0,115627000000,2687379000000,0000019617,JPM-PM
2019.0,115627000000,2687379000000,0000019617,VYLD
2020.0,108783000000,3386071000000,0000019617,JPM
2020.0,108783000000,3386071000000,0000019617,JPM-PD
2020.0,108783000000,3386071000000,0000019617,JPM-PC
2020.0,108783000000,3386071000000,0000019617,JPM-PJ
2020.0,108783000000,3386071000000,0000019617,AMJB
2020.0,108783000000,3386071000000,0000019617,JPM-PK
2020.0,108783000000,3386071000000,0000019617,JPM-PL
2020.0,108783000000,3386071000000,0000019617,JPM-PM
2020.0,108783000000,3386071000000,0000019617,VYLD
2021.0,121649000000,3384757000000,0000019617,JPM
2021.0,121649000000,3384757000000,0000019617,JPM-PD
2021.0,121649000000,3384757000000,0000019617,JPM-PC
2021.0,121649000000,3384757000000,0000019617,JPM-PJ
2021.0,121649000000,3384757000000,0000019617,AMJB
2021.0,121649000000,3384757000000,0000019617,JPM-PK
2021.0,121649000000,3384757000000,0000019617,JPM-PL
2021.0,121649000000,3384757000000,0000019617,JPM-PM
2021.0,121649000000,3384757000000,0000019617,VYLD
2022.0,128695000000,3665743000000,0000019617,JPM
2022.0,128695000000,3665743000000,0000019617,JPM-PD
2022.0,128695000000,3665743000000,0000019617,JPM-PC
2022.0,128695000000,3665743000000,0000019617,JPM-PJ
2022.0,128695000000,3665743000000,0000019617,AMJB
2022.0,128695000000,3665743000000,0000019617,JPM-PK
2022.0,128695000000,3665743000000,0000019617,JPM-PL
2022.0,128695000000,3665743000000,0000019617,JPM-PM
2022.0,128695000000,3665743000000,0000019617,VYLD
2023.0,158104000000,3875393000000,0000019617,JPM
2023.0,158104000000,3875393000000,0000019617,JPM-PD
2023.0,158104000000,3875393000000,0000019617,JPM-PC
2023.0,158104000000,3875393000000,0000019617,JPM-PJ
2023.0,158104000000,3875393000000,0000019617,AMJB
2023.0,158104000000,3875393000000,0000019617,JPM-PK
