year,revenue,assets,CIK,ticker,asset_growth
2019.0,5637600000,39286100000,0000059478,LLY,-0.10527142870156958
2020.0,24539800000,39286100000,0000059478,LLY,0.0
2021.0,28318400000,48806000000,0000059478,LLY,0.2423223481078549
2022.0,28541400000,49489800000,0000059478,LLY,0.014010572470597893
2023.0,34124100000,64006300000,0000059478,LLY,0.29332306859191193
2024.0,45042700000,78714900000,0000059478,LLY,0.22979925413592106
2009.0,119643000000,2223299000000,0000070858,BAC,
2009.0,119643000000,2223299000000,0000070858,BML-PG,0.0
2009.0,119643000000,2223299000000,0000070858,BML-PH,0.0
2009.0,119643000000,2223299000000,0000070858,BML-PL,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PB,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PK,0.0
2009.0,119643000000,2223299000000,0000070858,BML-PJ,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PE,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PL,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PM,0.0
2009.0,119643000000,2223299000000,0000070858,MER-PK,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PN,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PO,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PP,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PQ,0.0
2009.0,119643000000,2223299000000,0000070858,BAC-PS,0.0
2009.0,119643000000,2223299000000,0000070858,BACRP,0.0
2010.0,110220000000,2264909000000,0000070858,BAC,0.01871543143769694
2010.0,110220000000,2264909000000,0000070858,BML-PG,0.0
2010.0,110220000000,2264909000000,0000070858,BML-PH,0.0
2010.0,110220000000,2264909000000,0000070858,BML-PL,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PB,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PK,0.0
2010.0,110220000000,2264909000000,0000070858,BML-PJ,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PE,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PL,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PM,0.0
2010.0,110220000000,2264909000000,0000070858,MER-PK,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PN,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PO,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PP,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PQ,0.0
2010.0,110220000000,2264909000000,0000070858,BAC-PS,0.0
2010.0,110220000000,2264909000000,0000070858,BACRP,0.0
2011.0,93454000000,2129046000000,0000070858,BAC,-0.05998607449570825
2011.0,93454000000,2129046000000,0000070858,BML-PG,0.0
2011.0,93454000000,2129046000000,0000070858,BML-PH,0.0
2011.0,93454000000,2129046000000,0000070858,BML-PL,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PB,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PK,0.0
2011.0,93454000000,2129046000000,0000070858,BML-PJ,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PE,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PL,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PM,0.0
2011.0,93454000000,2129046000000,0000070858,MER-PK,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PN,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PO,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PP,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PQ,0.0
2011.0,93454000000,2129046000000,0000070858,BAC-PS,0.0
2011.0,93454000000,2129046000000,0000070858,BACRP,0.0
2012.0,110220000000,2209974000000,0000070858,BAC,0.038011391017385154
2012.0,110220000000,2209974000000,0000070858,BML-PG,0.0
